Author,Art,Sale date,Price,Size,Style,Estimate,Signed,dated,Collection,Material,Technique,Painted,Image,Genre,Square,Nazi,Length description
Francis Bacon,Three Studies of Lucian Freud,11.12.2013,142404992,198 x 147.5 cm,Post-War and Contemporary Evening Sale,-,0,0,0,canvas,oil only,1969,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0008A_000(francis_bacon_three_studies_of_lucian_freud).jpg,-,2.9205,0,382
Edvard Munch,The Scream,05.02.2012,119922496,132 x 96.5cm,Expressionism,700000.0,0,0,0,canvas,other techniques,-,https://uploads2.wikiart.org/images/edvard-munch/the-scream-1893(2).jpg!Large.jpg,genre painting,1.2672,0,929
Pablo Picasso,"Nude, Green Leaves and Bust",05.04.2010,106482496,162 x 130 cm,Property from the Collection of Mrs. Sidney F. Brody,-,1,0,1,canvas,oil only,1932,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02410_0006_000(pablo_picasso_nude_green_leaves_and_bust).jpg,nude painting (nu),2.106,0,145
Andy Warhol,Silver car crash,11.13.2013,105445000,267.4 x 417.1 cm,-,-,0,0,0,canvas,other techniques,-,-,-,11.1533,0,2352
Pablo Picasso,Garçon à la pipe,05.05.2004,104168000,99.7 x 81.3 cm,-,70000000.0,0,0,0,canvas,oil only,-,-,-,0.8106,0,2820
Alberto Giacometti,L′homme qui marche I,02.03.2010,103689992,183cm,-,12000000.0,0,0,0,bronze,other techniques,-,-,-,0,0,2982
Alberto Giacometti,Chariot,11.04.2014,100965000,144.7 cm,-,-,0,0,0,"bronze, wood",other techniques,-,-,-,0,0,1894
Pablo Picasso,Dora Maar au chat,05.03.2006,95216000,129.5 x 97 cm,-,50000000.0,0,0,0,canvas,oil only,-,-,-,1.2562,0,1390
Francis Bacon,"Triptych, 1976",05.14.2008,86281000,198 x 147.5 cm,-,-,0,0,0,canvas,oil and others,-,-,-,2.9205,0,2629
Andy Warhol,Triple Elvis,11.12.2014,81925000,208.3 x 175.3 cm,Post-War & Contemporary Art Evening Sale,-,1,0,0,linen,other techniques,1963,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0009_000(andy_warhol_triple_elvis_ferus_type).jpg,portrait,3.6515,0,165
Francis Bacon,Three Studies for a Portrait of John Edwards,05.13.2014,80805000,198.3 x 148 cm,Post-War and Contemporary Evening Sale,-,1,0,1,canvas,oil only,1984,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02847_0020_000(francis_bacon_three_studies_for_a_portrait_of_john_edwards).jpg,,2.9348,0,215
Mark Rothko,No. 1,11.13.2012,75122496,137.2 x 69.8 cm,Abstract Expressionism,1500000.0,0,0,0,other,other techniques,-,https://uploads5.wikiart.org/images/mark-rothko/no-1.jpg!Large.jpg,abstract,0.9577,0,363
Mark Rothko,White center,05.15.2007,72840000,205.8 x 141 cm,-,-,0,0,0,canvas,oil only,-,-,-,2.9018,0,2051
Andy Warhol,Green Car Crash,05.16.2007,71720000,228.6 x 203.2 cm,Post-War and Contemporary Art Evening Sale,25000000.0,0,0,1,linen,other techniques,1963,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01834_0015_000().jpg,-,4.6452,0,233
Francis Bacon,Portrait of George Dyer TalkingREPEAT SALE,02.13.2014,69625144,198.2 x 147.3cm,Post-War and Contemporary Art Evening Auction,-,0,0,1,canvas,oil only,1966,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01510_0010_000(francis_bacon_portrait_of_george_dyer_talking).jpg,portrait,2.9135,0,425
Andy Warhol,Four Marlons,11.12.2014,69605000,205.7 x 165.1 cm,Post-War & Contemporary Art Evening Sale,-,1,0,1,linen,other techniques,1966,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0010_000(andy_warhol_four_marlons).jpg,-,3.3961,0,138
Cy Twombly,Untitled,11.12.2014,69605000,67.5 x 86.4 cm,Abstract Expressionism,400000.0,0,0,0,other,other techniques,-,https://uploads8.wikiart.org/images/cy-twombly/untitled.jpg!Large.jpg,abstract,0.5832,0,1425
Amedeo Modigliani,Nu assis sur un divan,11.02.2010,68962496,100 x 65 cm,-,-,0,0,0,canvas,oil only,-,-,-,0.65,1,2714
Mark Rothko,Untitled,05.13.2014,66245000,28.3 x 40.6 cm,-,200000.0,0,0,0,paper,other techniques,-,-,-,0.1149,0,1331
Edouard Manet,Le Printemps,11.05.2014,65125000,74 x 51.5 cm,Impressionist & Modern Evening Sale,25000000.0,1,0,1,canvas,oil only,1881,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02888_0016_000(edouard_manet_le_printemps).jpg,-,0.3811,0,404
Clyfford Still,1949-A-No. 1,11.09.2011,61682500,236.2 x 200.7 cm,Abstract Expressionism,25000000.0,0,0,0,canvas,oil only,-,https://uploads2.wikiart.org/images/clyfford-still/1949-a-no-1-1949.jpg!Large.jpg,abstract,4.7405,0,402
Jeff Koons,Balloon dog,11.12.2013,58405000,363.2 x 114.3 cm,Post-War and Contemporary Evening Sale,35000000.0,1,0,1,other,other techniques,1994,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0012_000(jeff_koons_balloon_dog).jpg,-,4.1514,0,78
Andy Warhol,Coca-Cola,11.12.2013,57285000,176.2 x 137.2 cm,Post-War and Contemporary Evening Sale,40000000.0,1,0,1,cotton,other techniques,1962,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0027_000(andy_warhol_coca-cola_3).jpg,-,2.4175,0,144
Juan Gris,Nature morte à la nappe à carreaux,02.04.2014,57006496,116.5 x 89.3 cm,Impressionist/Modern Evening Sale,14640000.0,1,0,0,canvas,oil only,1915,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01505_0009_000(juan_gris_nature_morte_a_la_nappe_a_carreaux).jpg,-,1.0403,0,369
Mark Rothko,Untitled,05.15.2014,56165000,28.3 x 40.6 cm,-,200000.0,0,0,0,paper,other techniques,-,-,-,0.1149,0,1331
Alberto Giacometti,Grande tête mince,05.04.2010,53282500,65 cm,Property from the Collection of Mrs. Sidney F. Brody,25000000.0,1,0,1,"bronze, patina",other techniques,1954,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02410_0013_000(alberto_giacometti_grande_tete_mince).jpg,-,0,0,102
Francis Bacon,Study from Innocent X,05.15.2007,52680000,198 x 141.5 cm,-,-,0,0,0,canvas,oil only,-,-,-,2.8017,0,2565
Pablo Picasso,Portrait d′Angel Fernández de SotoREPEAT SALE,06.23.2010,51373652,70.3 x 55.3 cm,Impressionist/Modern  Evening Sale,36600000.0,1,0,1,canvas,oil only,1903,https://www.christies.com/img/LotImages/2010/CKS/2010_CKS_07857_0008_000(pablo_picasso_portrait_dangel_fernández_de_soto).jpg,-,0.3888,0,525
Mark Rothko,No. 15,05.13.2008,50441000,137.2 x 69.8 cm,-,1500000.0,0,0,0,other,other techniques,-,-,-,0.9577,0,363
Alberto Giacometti,Grande tête mince,11.06.2013,50005000,65 cm,-,35000000.0,0,0,0,bronze,other techniques,-,-,-,0,0,1750
Jean-Michel Basquiat,Dustheads,05.15.2013,48843752,182.8 x 213.3 cm,Post-War & Contemporary Evening Sale,25000000.0,1,0,0,"canvas, metal",oil only,1982,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02785_0010_000(jean-michel_basquiat_dustheads).jpg,-,3.8991,0,147
Henri Matisse,"Nu de dos, 4 état",11.03.2010,48802500,189.2 cm,Impressionist and Modern Evening Sale ,25000000.0,1,0,1,"bronze, patina",other techniques,1930,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02352_0065_000(henri_matisse_nu_de_dos_4_etat).jpg,-,0,0,139
Pablo Picasso,Le Rêve,11.10.1997,48402500,-,-,7000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Raphaël,Head of a muse,12.08.2009,48033684,30.5 x 22.2 cm,"Old Master & 19th Century Paintings, Drawings & Watercolours Evening Sale",14640000.0,0,0,1,other,other techniques,-,https://www.christies.com/img/LotImages/2009/CKS/2009_CKS_07782_0043_000().jpg,-,0.0677,0,848
Raphaël,Head of a Young Apostle,12.05.2012,47863100,-,-,10000000.0,0,0,0,other,other techniques,-,-,-,0,0,2780
,Abstraktes bild,02.10.2015,46297640,62.2 x 52.1 cm,-,500000.0,0,0,0,canvas,oil only,-,-,-,0.3241,0,913
Mark Rothko,No. 11,11.12.2013,46085000,201.9 x 177.2 cm,Post-War and Contemporary Evening Sale,25000000.0,1,0,0,canvas,oil only,1957,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0021_000(mark_rothko_no_11).jpg,abstract,3.5777,0,271
Norman Rockwell,Saying grace,12.04.2013,46085000,109.2 x 104.1 cm,Regionalism,15000000.0,0,0,0,canvas,oil only,-,https://uploads4.wikiart.org/images/norman-rockwell/saying-grace-1951.jpg!Large.jpg,genre painting,1.1368,0,2691
Henri Matisse,"Les coucous, tapis bleu et rose",02.23.2009,46055344,81 x 65.5 cm,Collection Yves Saint Laurent et Pierre Bergé,12960000.0,1,0,1,toile,oil only,-,https://www.christies.com/img/LotImages/2009/PAR/2009_PAR_01209_0055_000().jpg,,0.5305,0,325
Francis Bacon,Second Version of Study for Bullfight No. 1,11.14.2007,45961000,200 x 147.7 cm,Expressionism,-,0,0,0,canvas,oil only,-,https://uploads8.wikiart.org/images/francis-bacon/second-version-of-study-for-bullfight-no-1-1969(1).jpg!Large.jpg,genre painting,2.954,0,2332
,Modern Rome - Campo Vaccino,07.07.2010,45099024,90.2 x 122 cm,-,12000000.0,0,0,0,other,other techniques,-,-,-,1.1004,0,2940
Mark Rothko,No. 21,11.11.2014,44965000,241.5 x 162.5 cm,Abstract Expressionism,-,0,0,0,canvas,oil only,-,https://uploads6.wikiart.org/images/mark-rothko/no-21.jpg!Large.jpg,abstract,3.9244,0,2753
Pablo Picasso,Femme assise près d�une fenêtre,02.05.2013,44964024,146 x 114cm,-,25000000.0,0,0,0,canvas,oil only,-,-,-,0.1606,0,2612
Roy Lichtenstein,Sleeping Girl,05.09.2012,44882500,91.5 x 91.5 cm,-,30000000.0,0,0,0,canvas,oil and others,-,-,-,0.8372,0,1484
Francis Bacon,Figure Writing Reflected in Mirror,05.09.2012,44882500,198 x 147 cm,Expressionism,30000000.0,0,0,0,canvas,oil only,-,https://uploads6.wikiart.org/images/francis-bacon/figure-writing-reflected-in-a-mirror(1).jpg!Large.jpg,genre painting,2.9106,0,2550
Georgia O′Keeffe,Jimson weed/White flower no. 1,11.20.2014,44405000,121.9 x 101.6 cm,-,10000000.0,0,0,0,other,other techniques,-,-,-,1.2385,0,3140
Andy Warhol,200 one dollar bills,11.11.2009,43762500,203.8 x 234.3 cm,-,8000000.0,0,0,0,other,other techniques,-,-,-,4.775,0,2620
Andy Warhol,Statue of Liberty,11.14.2012,43762500,,Pop Art,400000.0,0,0,0,other,other techniques,-,https://uploads4.wikiart.org/images/andy-warhol/statue-of-liberty-1962.jpg,,0,0,0
Roy Lichtenstein,I can see the whole room!... and there′s nobody in it!REPEAT SALE,11.08.2011,43202500,121.9 x 121.9 cm,Post-War Contemporary Evening Sale,35000000.0,1,0,1,canvas,oil and others,1961,https://www.christies.com/img/LotImages/2011/NYR/2011_NYR_02480_0034_000(roy_lichtenstein_i_can_see_the_whole_roomand_theres_nobody_in_it).jpg,-,1.486,0,182
Francis Bacon,Self Portrait,06.21.2007,42957148,,Expressionism,350000.0,0,0,0,other,other techniques,-,https://uploads3.wikiart.org/images/francis-bacon/self-portrait-2(1).jpg!Large.jpg,self-portrait,0,0,0
Francesco Guardi,"Venice, a view of the Rialto Bridge, looking north",07.06.2011,42913160,120 x 203.7 cm,-,15000000.0,0,0,0,other,other techniques,-,-,-,2.4444,0,3156
Roy Lichtenstein,Ohhh...Alright...,11.10.2010,42642500,90.2 x 96.5 cm,Post-War and Contemporary Evening Sale,-,1,0,0,canvas,oil and others,1964,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02355_0005_000(roy_lichtenstein_ohhhalright).jpg,-,0.8704,0,216
Paul Cézanne,Les Pommes,05.07.2013,41605000,38.5 x 46 cm,-,25000000.0,0,0,0,other,other techniques,-,-,-,0.1771,0,2903
Pablo Picasso,Nature morte aux tulipes,11.08.2012,41522500,130 x 97 cm,-,35000000.0,0,0,0,canvas,oil only,-,-,-,1.261,0,2766
Claude Monet,Le Pont du chemin de fer à ArgenteuilREPEAT SALE,05.06.2008,41481000,60 x 98.4 cm,Impressionist And Modern Art  Evening Sale,-,1,0,0,canvas,oil only,1873,https://www.christies.com/img/LotImages/2008/NYR/2008_NYR_01994_0021_000().jpg,-,0.5904,0,1023
Pablo Picasso,La lecture,02.08.2011,40663652,65.5 x 51cm,-,12000000.0,0,0,0,panel,oil only,-,-,-,0.0328,0,2746
Edward Hopper,East Wind Over Weehawken,12.05.2013,40485000,86.4 x 127.6 cm,American Art,22000000.0,1,0,1,canvas,oil only,1934,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02750_0017_000(edward_hopper_east_wind_over_weehawken).jpg,-,1.1025,0,109
Gustav Klimt,Litzlberg am Attersee,11.02.2011,40402500,110 x 110 cm,Art Nouveau (Modern),-,0,0,0,canvas,oil only,-,https://uploads1.wikiart.org/images/gustav-klimt/untitled.jpg!Large.jpg,landscape,1.21,0,2396
Jackson Pollock,Number 4,11.13.2012,40402500,76.5 x 63.5 cm,Action painting,25000000.0,0,0,0,canvas,oil and others,-,https://uploads1.wikiart.org/number-6-1949(1).jpg,abstract,0.4858,0,2116
Vincent van Gogh,"L′Arlésienne, Madame Ginoux",05.02.2006,40336000,65 x 54 cm,Impressionist and Modern Art Evening Sale,40000000.0,0,0,1,canvas,oil only,1890,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01655_0019_000().jpg,-,0.351,0,393
Egon Schiele,Häuser mit bunter Wäsche,06.22.2011,40030520,99 x 119cm,-,22000000.0,0,0,0,canvas,oil only,-,-,-,0.1089,0,2770
Pablo Picasso,Tête de femme,11.06.2013,39925000,12 cm,-,150000.0,0,0,0,bronze,other techniques,-,-,-,0,0,1611
Francis Bacon,Study of Nude With Figure in a Mirror,02.27.2008,39322288,198 x 147.5cm,Expressionism,-,0,0,0,canvas,oil only,-,https://uploads6.wikiart.org/images/francis-bacon/study-for-a-nude-with-figure-in-a-mirror-1969(1).jpg!Large.jpg,nude painting (nu),2.9106,0,2753
Paul Gauguin,Te poipoi,11.07.2007,39241000,68 x 92 cm,-,40000000.0,0,0,0,canvas,oil only,-,-,-,0.6256,0,3010
Fernand Léger,étude pour �la femme en bleu�,05.07.2008,39241000,130 x 97 cm,-,35000000.0,0,0,0,canvas,oil only,-,-,-,1.261,0,2402
Paul Cézanne,La montagne Sainte-Victoire,05.07.2001,38502500,-,-,1200.0,0,0,0,other,other techniques,-,-,-,0,0,0
Andy Warhol,Four Marilyns,05.16.2013,38245000,91.4 x 71.1cm,-,220000.0,0,0,0,canvas,other techniques,-,-,-,0.6489,0,919
Edvard Munch,Vampire,11.03.2008,38162500,91 x 109 cm,Expressionism,300000.0,0,0,0,other,other techniques,-,https://uploads5.wikiart.org/images/edvard-munch/vampire-1895.jpg!Large.jpg,mythological painting,0.9919,0,1
Ernst Ludwig Kirchner,Berliner Strassenszene,11.08.2006,38096000,121.6 x 91.1 cm,Impressionist and Modern Art Evening Sale,18000000.0,1,0,1,canvas,oil only,1913,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01722_0037_000().jpg,-,1.1078,1,493
Constantin Brancusi,Madame L.R.,02.23.2009,37435600,117.1 cm,Collection Yves Saint Laurent et Pierre Bergé,16200000.000000002,0,0,1,other,other techniques,-,https://www.christies.com/img/LotImages/2009/PAR/2009_PAR_01209_0035_000().jpg,-,0,0,216
Raphaël,"Portrait of Lorenzo de′ Medici, Duke of Urbino",07.05.2007,37320048,97 x 79 cm,Important Old Master and British Pictures (Evening Sale),12200000.0,0,0,1,canvas,oil only,-,https://www.christies.com/img/LotImages/2007/CKS/2007_CKS_07413_0091_000().jpg,-,0.7663,0,1098
Edgar Degas,Danseuse au repos,11.03.2008,37042500,54.7 x 43.7 cm,-,500000.0,0,0,0,paper,other techniques,-,-,-,0.239,0,2163
Andy Warhol,Double Elvis,05.09.2012,37042500,207.6 x 121.9 cm,-,30000000.0,0,0,0,other,other techniques,-,-,-,2.5306,0,2188
Joan Miró,Peinture,06.19.2012,36955820,74.5 x 54.5cm,-,2500000.0,0,0,0,board,oil only,-,-,-,0.4023,0,1776
Yves Klein,Le Rose du bleu,06.27.2012,36764976,153 x 16cm,Post-War and Contemporary Art Evening Auction,-,0,0,1,board,other techniques,1960,https://www.christies.com/img/LotImages/2012/CKS/2012_CKS_05488_0009_000(yves_klein_le_rose_du_bleu).jpg,-,0.0153,0,158
George Stubbs,"Gimcrack on Newmarket Heath, with a trainer, jockey and stable lad",07.05.2011,36101240,102 x 193.6 cm,Old Master & British Paintings - Evening Sale,24400000.0,0,0,1,canvas,oil only,-,https://www.christies.com/img/LotImages/2011/CKS/2011_CKS_07980_0012_000(george_stubbs_ara_gimcrack_on_newmarket_heath_with_a_trainer_jockey_an).jpg,genre painting,1.9747,0,508
Sir Lawrence Alma-Tadema,The finding of Moses,11.04.2010,35922500,136.7 x 213.4 cm,-,3000000.0,0,0,0,canvas,oil only,-,-,-,2.9172,0,2832
,"Giudecca, La Donna della Salute and San Giorgio",04.06.2006,35856000,61 x 91.5 cm,"Important Old Master Paintings, Part I",-,0,0,1,canvas,oil only,-,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01620_0097_000().jpg,-,0.5582,0,530
Claude Monet,Le grand canal,02.03.2015,35633680,73 x 92cm,-,20000000.0,0,0,0,canvas,oil only,-,-,-,0.0657,0,2622
Claude Monet,"Waterloo Bridge, temps couvertREPEAT SALE",06.18.2007,35462000,65 x 99.4 cm,Impressionist and Modern Art  (Evening Sale),7320000.0,1,0,0,canvas,oil only,1904,https://www.christies.com/img/LotImages/2007/CKS/2007_CKS_07404_0014_000().jpg,-,0.6461,0,322
Andy Warhol,Coca-cola - 4,11.09.2010,35362500,60.8 x 45.5 cm,-,1000000.0,0,0,0,paper,other techniques,-,-,-,0.2766,0,1208
John Constable,The LockREPEAT SALE,07.03.2012,35183392,142.2 x 120.7 cm,Old Master & British Paintings Evening Sale,24400000.0,0,0,1,canvas,oil only,-,https://www.christies.com/img/LotImages/2012/CKS/2012_CKS_05602_0037_000(john_constable_ra_the_lock).jpg,-,1.7164,0,660
Jean-Michel Basquiat,Untitled,05.13.2014,34885000,25.4 x 15.2 cm,Neo-Expressionism,100000.0,0,0,0,other,other techniques,-,https://uploads0.wikiart.org/images/jean-michel-basquiat/untitled.jpg!Large.jpg,figurative,0.0386,0,1129
Francis Bacon,Self-portrait,06.30.2008,34498968,,Expressionism,350000.0,0,0,0,other,other techniques,-,https://uploads3.wikiart.org/images/francis-bacon/self-portrait-2(1).jpg!Large.jpg,self-portrait,0,0,0
,Abstraktes Bild,10.12.2012,34165172,62.2 x 52.1 cm,-,500000.0,0,0,0,canvas,oil only,-,-,-,0.3241,0,913
Jeff Koons,Jim Beam - J.B. Turner Train,05.13.2014,33765000,289.6 x 16.5 cm,Post-War and Contemporary Evening Sale,-,0,0,1,other,other techniques,1986,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02847_0028_000(jeff_koons_jim_beam_-_jb_turner_train).jpg,-,0.4778,0,78
Claude Monet,Alice hoschedé au jardin,11.04.2014,33765000,81 x 65 cm,-,25000000.0,0,0,0,canvas,oil only,-,-,-,0.5265,0,2887
Mark Rothko,Untitled no. 17,05.11.2011,33682500,236.2 x 193 cm,Post-War and Contemporary Art Evening Sale,18000000.0,1,0,1,canvas,oil only,1961,https://www.christies.com/img/LotImages/2011/NYR/2011_NYR_02440_0008_000(mark_rothko_untitled_no_17).jpg,abstract,4.5587,0,56
Jeff Koons,Tulips,11.14.2012,33682500,457.2 x 520.7 cm,Post-War & Contemporary Art Evening Sale,-,0,0,1,other,other techniques,1995,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02597_0038_000(jeff_koons_tulips).jpg,installation,23.8064,0,81
Henri Matisse,"L′Odalisque, harmonie bleue",11.06.2007,33641000,60.3 x 49.5 cm,Impressionist and Modern Art Evening Sale,15000000.0,1,0,0,canvas,oil only,1937,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01900_0024_000().jpg,genre painting,0.2985,0,74
Edouard Manet,"Portrait de Manet par lui-même, en buste",06.22.2010,33296082,85.5 x 71cm,-,20000000.0,0,0,0,other,other techniques,-,-,-,0.0599,0,3022
Rembrandt Harmensz van Rijn,Portrait of a man with arms akimbo,12.08.2009,33274996,107.4 x 87 cm,"Old Master & 19th Century Paintings, Drawings & Watercolours Evening Sale",21960000.0,1,0,1,canvas,oil only,-,https://www.christies.com/img/LotImages/2009/CKS/2009_CKS_07782_0012_000().jpg,-,0.9344,0,773
Francis Bacon,Self-Portrait,11.14.2007,33081000,-,-,350000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Gustav Klimt,Apple Tree I,11.08.2006,33056000,109 x 110 cm,Impressionist and Modern Art Evening Sale,15000000.0,1,0,1,canvas,oil only,1912,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01722_0053_000().jpg,landscape,1.199,1,428
Canaletto,"Venice, the Grand Canal, looking north-east from Palazzo Balbi to the Rialto Bridge",07.07.2005,32648762,86.5 x 138.5 cm,Baroque,6000000.0,0,0,0,other,other techniques,-,https://uploads8.wikiart.org/images/canaletto/venice-the-grand-canal-looking-north-east-from-palazzo-balbi-to-the-rialto-bridge.jpg!Large.jpg,veduta,1.198,0,2957
Alberto Giacometti,Diego en chemise écossaise,11.05.2013,32645000,81.1 x 64.9 cm,Impressionist & Modern Evening Sale,30000000.0,1,0,1,canvas,oil only,1954,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02788_0009_000(alberto_giacometti_diego_en_chemise_ecossaise).jpg,-,0.5263,0,182
Jackson Pollock,Number 16,11.12.2013,32645000,78.1 x 56.5 cm,Post-War and Contemporary Evening Sale,25000000.0,1,0,0,paper,oil and others,1949,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0039_000(jackson_pollock_number_16_1949).jpg,-,0.4413,0,463
,Abstraktes Bild,02.13.2014,32293282,62.2 x 52.1 cm,-,500000.0,0,0,0,canvas,oil only,-,-,-,0.3241,0,913
Camille Pissarro,"Le boulevard Montmartre, matinée de printemps",02.05.2014,32098220,65 x 81cm,-,7000000.0,0,0,0,canvas,oil only,-,-,-,0.052,1,3228
Roy Lichtenstein,Seductive Girl,11.12.2013,31525000,127 x 182.8 cm,Post-War and Contemporary Evening Sale,22000000.0,1,0,0,canvas,oil and others,1996,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0034_000(roy_lichtenstein_seductive_girl).jpg,-,2.3216,0,75
Pablo Picasso,Le sauvetage,05.07.2014,31525000,67.3 x 82.5 cm,-,450000.0,0,0,0,paper,other techniques,-,-,-,0.5552,0,1113
Andy Warhol,Liz #3,11.11.2014,31525000,59 x 58.8 cm,-,25000.0,0,0,0,other,other techniques,-,-,-,0.3469,0,0
,Abstraktes Bild,11.12.2014,31525000,62.2 x 52.1 cm,-,500000.0,0,0,0,canvas,oil only,-,-,-,0.3241,0,913
Mark Rothko,Untitled,05.12.2010,31442500,28.3 x 40.6 cm,-,200000.0,0,0,0,paper,other techniques,-,-,-,0.1149,0,1331
Clyfford Still,1947-Y-No. 2,11.09.2011,31442500,176.5 x 149.9 cm,Abstract Expressionism,15000000.0,0,0,0,canvas,oil only,-,https://uploads1.wikiart.org/images/clyfford-still/1947-y-no-2-1947.jpg,abstract,2.6457,0,73
Gustav Klimt,Houses at Unterach on the Attersee,11.08.2006,31376000,110 x 110 cm,Impressionist and Modern Art Evening Sale,18000000.0,0,0,1,canvas,oil only,1916,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01722_0052_000().jpg,cityscape,1.21,1,529
Amedeo Modigliani,Jeanne Hébuterne,11.04.2004,31368000,46 x 29.1 cm,Expressionism,8000000.0,0,0,0,canvas,oil only,-,https://uploads1.wikiart.org/images/amedeo-modigliani/jeanne-hebuterne-1918.jpg!Large.jpg,portrait,0.1339,0,1821
Pablo Picasso,Mousquetaire à la pipe,11.06.2013,30965000,195 x 130 cm,-,12000000.0,0,0,0,canvas,oil only,-,-,-,2.535,0,1398
Amedeo Modigliani,Portrait du sculpteur Oscar MiestchaninoffREPEAT SALE,11.06.2007,30841000,81.2 x 65 cm,Impressionist and Modern Art Evening Sale,18000000.0,1,0,0,canvas,oil only,1916,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01900_0047_000().jpg,-,0.5278,0,286
Pablo Picasso,Femme accroupie au costume turc,11.06.2007,30841000,115.8 x 89.2 cm,Impressionist and Modern Art Evening Sale,-,1,0,0,canvas,oil only,1955,https://www.christies.com/img/LotImages/2007/NYR/2007_NYR_01900_0073_000().jpg,-,1.0329,0,178
Edvard Munch,Girls on a Bridge,05.07.2008,30841000,101 x 102.5 cm,-,24000000.0,0,0,0,canvas,oil only,-,-,-,1.0353,0,2557
Claude Monet,Le Palais Contarini,06.19.2013,30836572,73 x 92 cm,-,15000000.0,0,0,0,canvas,oil only,-,-,-,0.6716,0,2985
Ed Ruscha,Smash,11.12.2014,30405000,182.2 x 170.1 cm,Post-War & Contemporary Art Evening Sale,15000000.0,1,0,0,canvas,oil only,1963,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0030_000(ed_ruscha_smash).jpg,-,3.0992,0,240
Henry Moore,Reclining Figure: Festival,02.07.2012,30127386,93 x 101cm,-,15000.0,0,0,0,board,oil only,-,-,-,0.093,0,458
Cy Twombly,Untitled,02.11.2015,29988256,67.5 x 86.4 cm,Abstract Expressionism,400000.0,0,0,0,other,other techniques,-,https://uploads8.wikiart.org/images/cy-twombly/untitled.jpg!Large.jpg,abstract,0.5832,0,1425
Francis Bacon,Untitled,11.13.2012,29762500,152 x 94 cm,Expressionism,18000000.0,0,0,0,other,other techniques,-,https://uploads5.wikiart.org/images/francis-bacon/untitled(1).jpg!Large.jpg,genre painting,1.4288,0,1532
Gino Severini,Danseuse,06.25.2008,29600370,100 x 81cm,-,7000000.0,0,0,0,canvas,oil only,-,-,-,0.08,0,3063
Jean-Michel Basquiat,Untitled,11.12.2013,29285000,25.4 x 15.2 cm,-,100000.0,0,0,0,other,other techniques,-,-,-,0.0386,0,1129
,Abstraktes Bild,05.13.2014,29285000,62.2 x 52.1 cm,-,500000.0,0,0,0,canvas,oil only,-,-,-,0.3241,0,913
Willem de Kooning,Clamdigger,11.12.2014,29285000,75.2 x 60.3 cm,Post-War & Contemporary Art Evening Sale,25000000.0,0,0,1,bronze,other techniques,1972,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0021_000(willem_de_kooning_clamdigger).jpg,-,0.4535,0,72
Sir Lawrence Alma-Tadema,The meeting of Antony and Cleopatra: 41 BC,05.05.2011,29202500,65.5 x 91.4 cm,-,3000000.0,0,0,0,panel,oil only,-,-,-,0.5987,0,3349
Pablo Picasso,Femme assise dans un fauteuil,05.02.2012,29202500,-,-,1800000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Pablo Picasso,Tête de Femme,11.07.2007,29161000,12 cm,-,150000.0,0,0,0,bronze,other techniques,-,-,-,0,0,1611
Pablo Picasso,"Femme assise, robe bleue",06.21.2011,29043342,73 x 60 cm,Impressionist/Modern Evening Sale,4880000.0,1,0,1,canvas,oil only,1939,https://www.christies.com/img/LotImages/2011/CKS/2011_CKS_07974_0049_000(pablo_picasso_femme_assise_robe_bleue).jpg,,0.438,1,801
