Author,Art,Sale date,Price,Size,Style,Estimate,Signed,dated,Collection,Material,Technique,Painted,Image,Genre,Square,Nazi,Length description
Lodovico Carracci,Salmacis and Hermaphroditus,07.06.2006,13653000,114.3 x 151.8 cm,Important Old Master Pictures,976000.0,0,0,1,other,other techniques,-,https://www.christies.com/img/LotImages/2006/CKS/2006_CKS_07253_0045_000().jpg,-,1.7351,0,455
Sir Peter Paul Rubens,Portrait of a commander being dressed for battle,07.06.2010,13631493,122.6 x 98.2 cm,"Old Master & 19th Century Paintings, Drawings & Watercolours  Evening",9760000.0,0,0,1,panel,oil only,-,https://www.christies.com/img/LotImages/2010/CKS/2010_CKS_07862_0016_000(sir_peter_paul_rubens_portrait_of_a_commander_three-quarter-length_bei).jpg,-,1.2039,0,3430
Pablo Picasso,Sylvette,05.07.2013,13605000,70 cm,-,12000000.0,0,0,0,other,other techniques,-,-,-,0,0,2126
Titian,Venus and Adonis,12.13.1991,13553180,67 x 96.7 cm,Mannerism (Late Renaissance),1000.0,0,0,0,canvas,oil only,-,https://uploads8.wikiart.org/images/titian/venus-and-adonis-1554.jpg!Large.jpg,mythological painting,0.6479,0,75
Jean-Michel Basquiat,Untitled,11.12.2008,13522500,25.4 x 15.2 cm,Neo-Expressionism,100000.0,0,0,0,other,other techniques,-,https://uploads0.wikiart.org/images/jean-michel-basquiat/untitled.jpg!Large.jpg,figurative,0.0386,0,1129
Pablo Picasso,Le Viol,11.08.2012,13522500,-,-,5000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Claude Monet,"Antibes, vue du Plateau Notre-Dame",06.23.2014,13481718,65.1 x 92.1cm,-,6000000.0,0,0,0,canvas,oil only,-,-,-,0.5989,0,2753
Vincent van Gogh,Parc de l′hôpital Saint-Paul,06.23.2010,13302947,66.7 x 51.5 cm,Impressionist/Modern  Evening Sale,9760000.0,0,0,1,canvas,oil only,1889,https://www.christies.com/img/LotImages/2010/CKS/2010_CKS_07857_0017_000(vincent_van_gogh_parc_de_lhopital_saint-paul).jpg,-,0.3435,0,410
Lucio Fontana,"Concetto spaziale, Attesa",02.06.2008,13279459,-,-,65000.0,0,0,0,other,other techniques,-,-,-,0,0,0
Joan Miró,Femme rêvant de l�évasion,02.05.2013,13270489,146 x 114cm,-,8000000.0,0,0,0,canvas,oil only,-,-,-,0.1606,0,1292
,Matrosen,11.09.2010,13242500,150 x 200 cm,-,6000000.0,0,0,0,canvas,oil only,-,-,-,3.0,0,2414
