Author,Art,Sale date,Price,Size,Style,Estimate,Provenance,Sign,Collection,Technique and performance material,Painted,Image,Urls,Found
Peter Doig,Road House,05.12.2014,"11,925,000",193 x 248.9 cm,If I Live I'll See You Tuesday: Contemporary Art Auction,"USD 9,500,000 - USD 11,500,000","Thomas Dane, London
Private collection, London
Acquired from the above by the present owner
",-,"
Private collection, London
",oil on canvas ,1991,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_03495_0031_000(peter_doig_road_house).jpg,https://www.christies.com/lotfinder/paintings/peter-doig-road-house-5792602-details.aspx?from=searchresults&intObjectID=5792602,1
Joan Mitchell,Untitled,05.13.2014,"11,925,000",-,-,-,-,-,-,-,-,-,-,0
Amedeo Modigliani,Jeune fille au béret,02.06.2007,"11,907,236",-,-,-,-,-,-,-,-,-,-,0
Edgar Degas,Petite danseuse de quatorze ansREPEAT SALE,11.12.1996,"11,882,500",-,-,-,-,-,-,-,-,-,-,0
Auguste Rodin,Le Penseur. Taille de la Porte dit Moyen modèleREPEAT SALE,05.05.2010,"11,842,500",-,-,-,-,-,-,-,-,-,-,0
Roy Lichtenstein,Sailboats IIIREPEAT SALE,05.09.2012,"11,842,500",-,-,-,-,-,-,-,-,-,-,0
Pablo Picasso,La statuaire,11.10.1999,"11,827,500",-,-,-,-,-,-,-,-,-,-,0
Fernand Léger,"Etude pour les constructeurs, fond bleu",11.06.2007,"11,801,000",-,-,-,-,-,-,-,-,-,-,0
Pablo Picasso,Homme à la pipe,11.07.2007,"11,801,000",-,-,-,-,-,-,-,-,-,-,0
Jeff Koons,Diamond,11.13.2007,"11,801,000",-,-,-,-,-,-,-,-,-,-,0
Jean-Michel Basquiat,Untitled,11.14.2007,"11,801,000",-,-,-,-,-,-,-,-,-,-,0
Jeff Koons,"New Hoover Convertibles, New Shelton Wet/Drys 5-Gallon, Double Decker",05.13.2008,"11,801,000",-,-,-,-,-,-,-,-,-,-,0
Paul Cézanne,Les grands arbres au Jas de BouffanREPEAT SALE,05.04.2005,"11,776,000",-,-,-,-,-,-,-,-,-,-,0
Andy Warhol,Small Torn Campbell′s Soup Can,05.09.2006,"11,776,000",50.9 x 40.7 cm,Post War and Contemporary Evening Sale,"USD 10,000,000 - USD 15,000,000","Stable Gallery, New York
J. Daniel Weitzman, New York
Eugene and Barbara Schwartz, New York
Acquired from the above by the present owner, 1967
","
signed and dated twice 'Andy Warhol/62' (on the reverse) 
",-,"casein, gold paint, and graphite on linen ",1962,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01658_0034_000().jpg,https://www.christies.com/lotfinder/lot/andy-warhol-small-torn-campbells-soup-can-4705676-details.aspx?from=searchresults&intObjectID=4705676,1
Pablo Picasso,Nu accroupi,05.06.2004,"11,768,000",-,-,-,-,-,-,-,-,-,-,0
Vincent van Gogh,L′allée des Alyscamps,11.04.2003,"11,767,500",-,-,-,-,-,-,-,-,-,-,0
Wu Guanzhong,Former residence if Qiu Jin,12.03.2011,"11,754,068",-,-,-,-,-,-,-,-,-,-,0
Chaïm Soutine,Le valet de chambre,06.22.2010,"11,693,411",-,-,-,-,-,-,-,-,-,-,0
Georges Seurat,"étude pour une baignade, Asnières",02.03.2015,"11,690,208",-,-,-,-,-,-,-,-,-,-,0
Claude Monet,Nymphéas,05.06.2008,"11,689,000",-,-,-,-,-,-,-,-,-,-,0
Paul Signac,Arrière du Tub,05.09.2007,"11,688,000",-,-,-,-,-,-,-,-,-,-,0
Gustav Klimt,Dame mit facher,05.11.1994,"11,662,500",-,-,-,-,-,-,-,-,-,-,0
Jackson Pollock,"Number 12, 1949REPEAT SALE",05.11.2004,"11,655,500",-,-,-,-,-,-,-,-,-,-,0
Jan Brueghel the Elder,The Garden of Eden with the fall of man,07.09.2014,"11,651,322",-,-,-,-,-,-,-,-,-,-,0
Andy Warhol,Brigitte Bardot,11.11.2014,"11,645,000",-,-,-,-,-,-,-,-,-,-,0
Tang Yin,Landscape,06.03.2013,"11,622,978",-,-,-,-,-,-,-,-,-,-,0
Zhang Daqian,Lady red whisk,05.10.2013,"11,604,628",-,-,-,-,-,-,-,-,-,-,0
,Abstraktes Bild,02.15.2011,"11,595,358",-,-,-,-,-,-,-,-,-,-,0
Domenico Gnoli,Black Hair,02.13.2014,"11,594,428",170 x 150cm,Post-War and Contemporary Art Evening Auction,"GBP 1,200,000 - GBP 1,800,000","Sidney Janis Gallery, New York.
Harry Torczyner, New York (acquired from the above in 1969).
Acquired from the above by the present owner circa 1973.
","
signed, titled and dated 'D. Gnoli 1969 ""Black Hair""' (on the reverse)
",-,acrylic and sand on canvas,1969,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01510_0019_000(domenico_gnoli_black_hair).jpg,https://www.christies.com/lotfinder/paintings/domenico-gnoli-black-hair-5766933-details.aspx?from=searchresults&intObjectID=5766933,1
Ernst Ludwig Kirchner,Das boskett: Albertplatz in Dresden,02.08.2012,"11,591,003",-,-,-,-,-,-,-,-,-,-,0
