Author,Art,Sale date,Price,Genre,Style,Image,Dimensions,Media,Location,Found,Url
Edward Hopper,Chair Car,05.11.2005,"14,016,000",genre painting,New Realism,https://uploads8.wikiart.org/images/edward-hopper/chair-car-1965.jpg!Large.jpg,127 x 101.6 cm,"oil, canvas",Private Collection,1,https://www.wikiart.org/en/Search/Edward Hopper Chair Car
Claude Monet,Nymphéas,11.01.2005,"14,016,000",,,,,,,0,https://www.wikiart.org/en/Search/Claude Monet Nymphéas
Frans Hals I,"Portrait of Willem van Heythuysen, seated on a chair and holding a hunting crop",07.09.2008,"14,007,842",,,,,,,0,"https://www.wikiart.org/en/Search/Frans Hals I Portrait of Willem van Heythuysen, seated on a chair and holding a hunting crop"
Jin Shangyi,Tajik bride,11.16.2013,"13,967,305",,,,,,,0,https://www.wikiart.org/en/Search/Jin Shangyi Tajik bride
El Greco,Saint Dominic in prayer,07.03.2013,"13,907,516",,,,,,,0,https://www.wikiart.org/en/Search/El Greco Saint Dominic in prayer
Wassily Kandinsky,Der bär,02.08.2012,"13,883,477",,,,,,,0,https://www.wikiart.org/en/Search/Wassily Kandinsky Der bär
Paul Signac,"La Corne d′Or, Constantinople",02.07.2012,"13,858,400",,,,,,,0,"https://www.wikiart.org/en/Search/Paul Signac La Corne d′Or, Constantinople"
Alberto Giacometti,Homme traversant une place par un matin de soleil,02.05.2014,"13,833,261",,,,,,,0,https://www.wikiart.org/en/Search/Alberto Giacometti Homme traversant une place par un matin de soleil
Chaïm Soutine,Le boeuf écorché,02.06.2006,"13,829,075",,,,,,,0,https://www.wikiart.org/en/Search/Chaïm Soutine Le boeuf écorché
Kees van Dongen,Jeune Arabe,11.04.2009,"13,802,500",,,,,,,0,https://www.wikiart.org/en/Search/Kees van Dongen Jeune Arabe
Amedeo Modigliani,Jeanne Hébuterne au collier,05.05.2010,"13,802,500",,,,,,,0,https://www.wikiart.org/en/Search/Amedeo Modigliani Jeanne Hébuterne au collier
Claude Monet,Le Givre à Giverny,02.05.2013,"13,798,715",,,,,,,0,https://www.wikiart.org/en/Search/Claude Monet Le Givre à Giverny
Joan Miró,L′Oiseau au plumage déployé vole vers l′arbre argenté,02.04.2015,"13,794,001",,,,,,,0,https://www.wikiart.org/en/Search/Joan Miró L′Oiseau au plumage déployé vole vers l′arbre argenté
Marc Chagall,Le grand cirque,05.08.2007,"13,760,000",,,,,,,0,https://www.wikiart.org/en/Search/Marc Chagall Le grand cirque
Alberto Giacometti,Grande tête de Diego,05.08.2002,"13,759,500",,,,,,,0,https://www.wikiart.org/en/Search/Alberto Giacometti Grande tête de Diego
Henri Matisse,La vis,11.03.1993,"13,752,500",,,,,,,0,https://www.wikiart.org/en/Search/Henri Matisse La vis
Pierre-Auguste Renoir,Jeune fille au chapeau garni de fleurs des champs,05.09.1989,"13,750,000",,,,,,,0,https://www.wikiart.org/en/Search/Pierre-Auguste Renoir Jeune fille au chapeau garni de fleurs des champs
Joan Miró,Peinture,11.07.2012,"13,746,500",,,,,,,0,https://www.wikiart.org/en/Search/Joan Miró Peinture
Pablo Picasso,Nu jaune,11.02.2005,"13,736,000",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Nu jaune
Sir Anthony van Dyck,Self portrait,12.09.2009,"13,719,733",,,,,,,0,https://www.wikiart.org/en/Search/Sir Anthony van Dyck Self portrait
Pablo Picasso,Le peintre et son modèle,06.19.2006,"13,698,880",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Le peintre et son modèle
Lodovico Carracci,Salmacis and Hermaphroditus,07.06.2006,"13,653,000",,,,,,,0,https://www.wikiart.org/en/Search/Lodovico Carracci Salmacis and Hermaphroditus
Sir Peter Paul Rubens,Portrait of a commander being dressed for battle,07.06.2010,"13,631,493",,,,,,,0,https://www.wikiart.org/en/Search/Sir Peter Paul Rubens Portrait of a commander being dressed for battle
Zhou Zhimian,Flowers,12.04.2010,"13,616,510",,,,,,,0,https://www.wikiart.org/en/Search/Zhou Zhimian Flowers
Pablo Picasso,Sylvette,05.07.2013,"13,605,000",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Sylvette
Titian,Venus and Adonis,12.13.1991,"13,553,180",mythological painting,Mannerism (Late Renaissance),https://uploads8.wikiart.org/images/titian/venus-and-adonis-1554.jpg!Large.jpg,207 x 186 cm,"oil, canvas","Museo del Prado, Madrid, Spain",1,https://www.wikiart.org/en/Search/Titian Venus and Adonis
Edgar Degas,Les blanchisseuses,11.30.1987,"13,538,462",,,,,,,0,https://www.wikiart.org/en/Search/Edgar Degas Les blanchisseuses
Jean-Michel Basquiat,Untitled,11.12.2008,"13,522,500",figurative,Neo-Expressionism,https://uploads0.wikiart.org/images/jean-michel-basquiat/untitled.jpg!Large.jpg,186.1 x 125.1 cm,,Private Collection,1,https://www.wikiart.org/en/Search/Jean-Michel Basquiat Untitled
Pablo Picasso,Le Viol,11.08.2012,"13,522,500",,,,,,,0,https://www.wikiart.org/en/Search/Pablo Picasso Le Viol
Richard Diebenkorn,Ocean Park # 48,11.14.2012,"13,522,500",,,,,,,0,https://www.wikiart.org/en/Search/Richard Diebenkorn Ocean Park # 48
Andy Warhol,Mao,11.15.2012,"13,522,500",portrait,Pop Art,https://uploads4.wikiart.org/images/andy-warhol/mao.jpg!Large.jpg,,,"Art Institute of Chicago, Chicago, IL, US",1,https://www.wikiart.org/en/Search/Andy Warhol Mao
Claude Monet,"Antibes, vue du Plateau Notre-Dame",06.23.2014,"13,481,718",,,,,,,0,"https://www.wikiart.org/en/Search/Claude Monet Antibes, vue du Plateau Notre-Dame"
